action_type,injurytime_play,mins,minsec,player_id,secs,team_id,type,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,3,186,87,6,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,38.3,84.9,54.5
,,2,145,7969,25,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,28.4,101.2,29.6,90.2
,,2,120,8206,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,72.4,101.2,66.0,91.5
,,1,73,87,13,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.1,29.8,93.3,71.7
,,7,466,729,46,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,11.4,-1.8,10.1,25.8
,,8,536,2074,56,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,3.4,53.4,2.9,60.0
,,14,863,10504,23,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,42.2,101.8,54.9,94.5
,,14,846,8088,6,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,79.4,101.4,72.7,94.4
,,11,715,12372,55,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,64.7,102.0,68.7,97.5
,,12,738,20871,18,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,5.3,68.2,29.9,53.4
,,19,1168,2948,28,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,101.4,16.6,81.7
,,19,1144,905,4,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,31.8,101.7,10.8,57.8
,,24,1455,15280,15,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,27.2,-1.4,25.9,2.8
,,23,1431,12372,51,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,46.4,-1.6,13.3,28.5
,,22,1360,8088,40,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,92.7,3.8,95.4
,,29,1782,729,42,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.5,47.6,77.6,38.9
,,27,1650,15004,30,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,39.6,101.4,4.1,65.7
,,26,1575,12372,15,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,64.6,-1.4,54.2,34.6
,,28,1734,20871,54,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,6.2,43.6,29.9,53.4
,,28,1696,12372,16,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,2.9,83.5,2.7,84.7
,,32,1952,2948,32,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,72.0,101.2,66.8,96.6
,,32,1925,10504,5,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,27.6,-1.5,16.3,17.0
,,30,1845,2948,45,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,55.8,101.5,57.2,94.6
,,30,1823,583,23,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,71.6,102.0,71.7,84.5
,,39,2377,9470,37,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,29.0,86.4,55.2
,,38,2288,9470,8,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,49.6,101.4,52.9,68.2
,,36,2183,2074,23,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,7.4,101.5,7.2,97.8
,,36,2197,20871,37,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,22.8,60.3,29.9,53.4
,,35,2119,12372,19,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,27.6,32.8,23.3,34.2
,0,42,2530,10560,10,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,39.8,69.2,45.4
,1,45,2820,11309,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,71.0,-1.0,27.8,56.2
,1,45,2791,15280,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,51.8,101.3,57.8,97.5
,1,45,2776,9470,0,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,63.3,-1.5,72.8,48.1
,1,45,2752,544,0,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,70.8,-1.2,52.5,2.0
,,47,2875,2074,55,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,55.0,101.0,36.4,73.9
,,47,2829,583,9,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.2,43.0,73.6,47.8
,,54,3282,10504,42,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,45.0,-2.0,34.6,3.5
,,54,3254,925,14,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.3,95.8,55.0,65.4
,,51,3119,2074,59,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,36.4,101.6,6.4,71.4
,,50,3043,2074,43,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,53.2,89.8,88.7
,,59,3554,2948,14,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.1,90.6,40.7,92.3
,,55,3348,9470,48,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,40.0,87.0,39.2
,,55,3318,20871,18,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,13.3,102.0,14.1,93.0
,,59,3595,2948,55,49,corner,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,95.6,40.7,92.3
,,58,3503,7969,23,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,14.0,52.8,13.2,51.6
,,64,3899,20871,59,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,42.3,-1.7,38.2,3.6
,,63,3818,15280,38,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,66.6,-1.3,52.3,5.5
,,63,3793,729,13,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,70.2,101.6,27.3,36.0
,,61,3719,544,59,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.5,61.4,85.7,19.2
,,69,4144,729,4,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,64.2,101.4,97.0,66.7
,,67,4049,11309,29,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.7,49.7,74.0,47.6
,,65,3951,20871,51,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,28.4,101.8,22.6,95.6
,,68,4100,10803,20,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,0.8,58.0,4.7,58.2
,,79,4786,925,46,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,23.4,-1.5,43.6,83.7
,,78,4726,10560,46,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,8.5,101.5,71.5,90.0
,,79,4754,82,14,49,corner,data/epl,2017-09-11 20:00:00 +0100,32934,11.6,61.0,2.4,55.5
,,76,4567,10803,7,309,corner,data/epl,2017-09-11 20:00:00 +0100,32934,1.7,59.4,5.9,56.3
,,84,5082,10955,42,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,67.8,101.5,52.6,8.3
,,84,5048,7969,8,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,65.3,-1.4,46.3,24.6
,,83,5024,2948,44,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,40.1,101.7,40.7,92.3
,,83,4988,925,8,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,55.2,102.0,43.6,83.7
,,82,4950,10955,30,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,83.8,101.2,52.6,8.3
,,82,4923,10504,3,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,8.6,-1.6,7.3,7.7
,,80,4842,10803,42,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,64.8,101.4,60.7,98.1
,,80,4817,925,17,49,corner,data/epl,2017-09-11 20:00:00 +0100,32934,14.5,54.3,43.6,83.7
,0,89,5396,20871,56,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,17.3,101.4,25.5,98.5
,0,89,5376,20871,36,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,29.6,101.4,25.5,98.5
,0,88,5328,23637,48,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.1,71.0,0.0,0.0
,0,88,5304,729,24,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,14.2,-1.6,40.8,2.2
,0,88,5283,10560,3,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,61.7,101.5,71.5,90.0
,0,87,5258,10955,38,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.2,64.3,52.6,8.3
,0,85,5103,905,3,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,43.1,102.0,36.5,65.4
,1,90,5654,729,0,49,out,data/epl,2017-09-11 20:00:00 +0100,32934,92.8,-1.6,40.8,2.2
,1,90,5620,10803,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,30.8,101.4,28.9,92.9
,1,90,5581,7969,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,52.5,-1.6,31.8,4.7
,1,90,5509,10504,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,101.0,23.7,94.5,17.3
,1,90,5423,20871,0,309,out,data/epl,2017-09-11 20:00:00 +0100,32934,22.8,101.6,10.5,70.2
