cl_itp_result,cl_itp_result_failed,cl_itp_result_headed,cl_itp_result_success,cl_itp_result_team_id,cl_result,cl_result_failed,cl_result_headed,cl_result_success,cl_result_team_id,event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_type,headed,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
,,,,,,,,,,"
            ",Defense,,2,171,7969,51,309,headed,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,25.3,29.1
,,,,,,,,,,"
            ",Defense,,1,60,10504,0,309,headed,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,9.2,44.2
,,,,,0/0,0,0,0,49,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,2,0,309,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,7,465,729,45,49,success,false,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,10.1,25.8
,,,,,,,,,,"
            ",Defense,,9,570,8206,30,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,3.7,56.6
,,,,,,,,,,"
            ",Defense,,8,535,2074,55,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,2.9,60
,,,,,,,,,,"
            ",Defense,,8,514,7969,34,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,19.1,31.9
,,,,,,,,,,"
            ",Defense,,5,305,7969,5,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,16.2,45.4
,,,,,,,,,,"
            ",Defense,,5,303,20871,3,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,15.2,53.1
,,,,,1/1,0,0,1,49,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,5/5,0,5,0,309,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,13,780,8206,0,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,7.2,55.8
,,,,,,,,,,"
            ",Defense,,12,731,7969,11,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,57.5
,,,,,,,,,,"
            ",Defense,,11,691,7969,31,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,23.7,43.7
,,,,,,,,,,"
            ",Defense,,12,735,20871,15,309,headed,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,67
,,,,,0/0,0,0,0,49,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,4/4,0,1,3,309,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,19,1190,925,50,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,10.4,69.6
,,,,,,,,,,"
            ",Defense,,19,1166,2948,26,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,16.6,81.7
,,,,,,,,,,"
            ",Defense,,19,1143,905,3,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,57.8
,,,,,,,,,,"
            ",Defense,,18,1102,20871,22,309,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,21.6,62
,,,,,,,,,,"
            ",Defense,,17,1058,20871,38,309,headed,true,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,48.8
,,,,,,,,,,"
            ",Defense,,16,969,544,9,49,headed,true,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,47.7,24.1
,,,,,4/4,0,1,3,49,,,,,,,,,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,1,1,309,,,,,,,,,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,23,1425,15280,45,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,24.5,2.9
,,,,,,,,,,"
            ",Defense,,23,1401,2074,21,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,22.7,81.4
,,,,,,,,,,"
            ",Defense,,22,1359,8088,39,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,3.8,95.4
,,,,,,,,,,"
            ",Defense,,22,1335,7969,15,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,26.1,45.1
,,,,,,,,,,"
            ",Defense,,21,1292,10560,32,49,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,41.5,94.5
,,,,,,,,,,"
            ",Defense,,20,1230,7969,30,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,18.9,52.8
,,,,,,,,,,"
            ",Defense,,20,1208,9470,8,49,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,25.2,42.4
,,,,,,,,,,"
            ",Defense,,23,1395,20871,15,309,headed,true,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,12.5,53.1
,,,,,,,,,,"
            ",Defense,,22,1327,20871,7,309,headed,true,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,28.8,52.2
,,,,,2/2,0,0,2,49,,,,,,,,,,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,7/7,0,2,5,309,,,,,,,,,,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,29,1764,11309,24,309,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,4.9,42.2
,,,,,,,,,,"
            ",Defense,,28,1694,12372,14,309,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,2.7,84.7
,,,,,,,,,,"
            ",Defense,,27,1624,925,4,49,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,11.5,67.2
,,,,,,,,,,"
            ",Defense,,29,1779,11309,39,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,13.4,54.9
,,,,,,,,,,"
            ",Defense,,29,1778,7969,38,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,15,53.7
,,,,,,,,,,"
            ",Defense,,29,1768,20871,28,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,8,72.3
,,,,,1/1,0,0,1,49,,,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,5/5,0,3,2,309,,,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,34,2064,729,24,49,headed,true,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,21.5,39.1
,,,,,,,,,,"
            ",Defense,,33,2002,20871,22,309,headed,true,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,9.9,61.1
,,,,,1/1,0,1,0,49,,,,,,,,,,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,1/1,0,1,0,309,,,,,,,,,,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,39,2373,7969,33,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,53.1
,,,,,,,,,,"
            ",Defense,,37,2227,20871,7,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,10.1,58.4
,,,,,,,,,,"
            ",Defense,,35,2157,7969,57,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,14.5,46.3
,,,,,,,,,,"
            ",Defense,,35,2149,8206,49,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,4.5,40.6
,,,,,0/0,0,0,0,49,,,,,,,,,,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,4/4,0,4,0,309,,,,,,,,,,,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,0,44,2656,905,16,49,success,false,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,8.1,44.5
,,,,,1/1,0,0,1,49,,,,,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,0/0,0,0,0,309,,,,,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,1,45,2721,10072,0,309,success,false,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,19.7,25.8
0/0,0,0,0,49,,,,,,,,,,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
1/1,0,0,1,309,,,,,,,,,,,,,,,,9,40 - 45,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,50,3000,925,0,49,success,false,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,22.7,64.9
,,,,,,,,,,"
            ",Defense,,48,2903,7969,23,309,success,false,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,52.2
,,,,,,,,,,"
            ",Defense,,47,2868,925,48,49,headed,true,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,31.1,78.2
,,,,,,,,,,"
            ",Defense,,47,2864,925,44,49,headed,true,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,39.3,77.2
,,,,,,,,,,"
            ",Defense,,46,2768,20871,8,309,headed,true,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,13.4,62.4
,,,,,,,,,,"
            ",Defense,,45,2709,7969,9,309,headed,true,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,38.5,27.7
,,,,,3/3,0,2,1,49,,,,,,,,,,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,3/3,0,2,1,309,,,,,,,,,,,10,45 - 50,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,52,3179,544,59,49,success,false,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,24.4,8
,,,,,1/1,0,0,1,49,,,,,,,,,,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,0/0,0,0,0,309,,,,,,,,,,,11,50 - 55,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,58,3502,7969,22,309,success,false,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,13.2,51.6
,,,,,,,,,,"
            ",Defense,,59,3546,7969,6,309,headed,true,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,24.7,91.1
,,,,,,,,,,"
            ",Defense,,58,3532,11309,52,309,headed,true,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,10,39.2
,,,,,0/0,0,0,0,49,,,,,,,,,,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,3/3,0,2,1,309,,,,,,,,,,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,64,3891,544,51,49,success,false,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,14.8,42.5
,,,,,,,,,,"
            ",Defense,,60,3652,544,52,49,success,false,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,18.5,16.2
,,,,,,,,,,"
            ",Defense,,60,3627,925,27,49,success,false,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,9.8,44.6
,,,,,,,,,,"
            ",Defense,,61,3698,7969,38,309,headed,true,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,22.2,22.1
,,,,,,,,,,"
            ",Defense,,60,3635,87,35,49,headed,true,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,18.8,28.7
,,,,,,,,,,"
            ",Defense,,60,3629,925,29,49,headed,true,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,16.2,49.6
,,,,,5/5,0,2,3,49,,,,,,,,,,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,1/1,0,1,0,309,,,,,,,,,,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,68,4099,10803,19,309,success,false,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,4.7,58.2
,,,,,,,,,,"
            ",Defense,,65,3950,20871,50,309,success,false,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,22.6,95.6
,,,,,0/0,0,0,0,49,,,,,,,,,,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,0,2,309,,,,,,,,,,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,79,4785,925,45,49,success,false,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,3.8,34.8
,,,,,,,,,,"
            ",Defense,,78,4726,10560,46,49,headed,true,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,10.7,92.3
,,,,,,,,,,"
            ",Defense,,76,4566,10803,6,309,headed,true,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,5.9,56.3
,,,,,,,,,,"
            ",Defense,,75,4516,87,16,49,headed,true,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,14.7,56.1
,,,,,3/3,0,2,1,49,,,,,,,,,,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,1/1,0,1,0,309,,,,,,,,,,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,82,4922,10504,2,309,success,false,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,7.3,7.7
,,,,,,,,,,"
            ",Defense,,80,4815,905,15,49,headed,true,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,38
,,,,,1/1,0,1,0,49,,,,,,,,,,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,1/1,0,0,1,309,,,,,,,,,,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,0,86,5211,905,51,49,success,false,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,9.2,39.8
,,,,,,,,,,"
            ",Defense,0,86,5174,9470,14,49,success,false,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,31,46.6
,,,,,,,,,,"
            ",Defense,0,85,5102,905,2,49,success,false,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,36.5,65.4
,,,,,,,,,,"
            ",Defense,0,89,5362,20871,22,309,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,26.1,68.1
,,,,,,,,,,"
            ",Defense,0,87,5251,7969,31,309,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,24.9,52.4
,,,,,,,,,,"
            ",Defense,0,86,5203,905,43,49,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,23.9,43.9
,,,,,,,,,,"
            ",Defense,0,86,5182,905,22,49,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,9.6,53.7
,,,,,5/5,0,2,3,49,,,,,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,2,0,309,,,,,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,1,90,5458,544,0,49,success,false,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,13.8,5.6
,,,,,,,,,,"
            ",Defense,1,90,5422,20871,0,309,success,false,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,10.5,70.2
,,,,,,,,,,"
            ",Defense,1,90,5579,7969,0,309,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,31.8,4.7
,,,,,,,,,,"
            ",Defense,1,90,5501,925,0,49,headed,true,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,9.5,64
2/2,0,1,1,49,,,,,,,,,,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
2/2,0,1,1,309,,,,,,,,,,,,,,,,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934,,
