action_type,injurytime_play,mins,minsec,ot_id,ot_outcome,player_id,secs,team_id,competition,kickoff,match_id,loc_x,loc_y
Possession,,4,282,61,1,10504,42,309,data/epl,2017-09-11 20:00:00 +0100,32934,39.1,37.0
Possession,,3,221,61,1,925,41,49,data/epl,2017-09-11 20:00:00 +0100,32934,37.0,52.8
Possession,,3,220,61,1,10072,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,62.8,52.2
Possession,,3,216,1,1,15004,36,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.0,48.4
Possession,,3,182,1,1,544,2,49,data/epl,2017-09-11 20:00:00 +0100,32934,83.6,3.5
Possession,,2,170,44,0,87,50,49,data/epl,2017-09-11 20:00:00 +0100,32934,73.9,30.0
Defense,,2,144,7,1,7969,24,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.6,90.2
Possession,,1,118,44,0,729,58,49,data/epl,2017-09-11 20:00:00 +0100,32934,35.8,6.7
Possession,,1,100,1,1,15004,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.4,43.3
Possession,,0,59,1,0,10560,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,77.6,96.4
Defense,,0,26,7,0,925,26,49,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,69.6
Possession,,9,568,1,0,10560,28,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,0.5
Possession,,8,536,6,0,2074,56,309,data/epl,2017-09-11 20:00:00 +0100,32934,3.4,53.4
Possession,,8,536,6,1,87,56,49,data/epl,2017-09-11 20:00:00 +0100,32934,96.6,46.6
Defense,,8,533,10,1,7969,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,13.0,55.7
Possession,,8,532,44,0,7969,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,50.6
Possession,,8,530,1,1,583,50,49,data/epl,2017-09-11 20:00:00 +0100,32934,91.2,3.5
Defense,,8,526,7,1,544,46,49,data/epl,2017-09-11 20:00:00 +0100,32934,96.9,5.7
Possession,,8,508,1,1,905,28,49,data/epl,2017-09-11 20:00:00 +0100,32934,46.1,40.6
Defense,,8,485,4,0,20871,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,54.2,69.8
Defense,,8,485,4,1,87,5,49,data/epl,2017-09-11 20:00:00 +0100,32934,45.8,30.2
Possession,,7,465,1,0,10072,45,309,data/epl,2017-09-11 20:00:00 +0100,32934,89.7,73.4
Defense,,7,463,45,0,729,43,49,data/epl,2017-09-11 20:00:00 +0100,32934,13.8,28.0
Defense,,7,460,7,0,544,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,19.4,8.9
Possession,,7,459,61,1,544,39,49,data/epl,2017-09-11 20:00:00 +0100,32934,22.6,5.0
Defense,,7,451,45,0,2948,31,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.3,14.2
Possession,,7,449,61,0,2948,29,49,data/epl,2017-09-11 20:00:00 +0100,32934,54.0,34.3
Possession,,7,436,61,1,20871,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.9,53.4
Possession,,7,434,44,0,20871,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,32.7,59.0
Possession,,7,430,1,1,82,10,49,data/epl,2017-09-11 20:00:00 +0100,32934,12.2,66.6
Possession,,6,396,1,1,7969,36,309,data/epl,2017-09-11 20:00:00 +0100,32934,32.8,40.0
Defense,,6,381,4,0,583,21,49,data/epl,2017-09-11 20:00:00 +0100,32934,66.6,52.8
Defense,,6,381,4,1,8088,21,309,data/epl,2017-09-11 20:00:00 +0100,32934,33.4,47.2
Defense,,6,376,7,0,544,16,49,data/epl,2017-09-11 20:00:00 +0100,32934,75.7,24.5
Possession,,6,372,44,0,20871,12,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.7,54.3
Possession,,6,371,1,1,82,11,49,data/epl,2017-09-11 20:00:00 +0100,32934,35.7,17.4
Defense,,5,340,4,1,544,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,35.7,17.4
Defense,,5,340,4,0,8088,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.3,82.6
Defense,,5,337,7,1,729,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.8,16.8
Possession,,5,328,1,1,11309,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,44.7,69.7
Defense,,5,314,4,1,8088,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.7,76.8
Defense,,5,314,4,0,10955,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,47.3,23.2
Defense,,5,312,45,0,9470,12,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.4,11.8
Possession,,5,307,44,0,10072,7,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.4,51.6
Defense,,14,893,4,1,20871,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,38.8,64.5
Defense,,14,893,4,0,87,53,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.2,35.5
Possession,,14,862,61,1,10504,22,309,data/epl,2017-09-11 20:00:00 +0100,32934,54.9,94.5
Possession,,13,829,1,1,15004,49,309,data/epl,2017-09-11 20:00:00 +0100,32934,17.7,29.3
Defense,,13,785,4,1,15280,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,24.0,20.0
Defense,,13,785,4,0,87,5,49,data/epl,2017-09-11 20:00:00 +0100,32934,76.0,80.0
Possession,,12,779,1,0,10560,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,0.5
Possession,,12,738,6,0,20871,18,309,data/epl,2017-09-11 20:00:00 +0100,32934,5.3,68.2
Possession,,12,738,6,1,583,18,49,data/epl,2017-09-11 20:00:00 +0100,32934,94.7,31.8
Possession,,11,696,61,1,9470,36,49,data/epl,2017-09-11 20:00:00 +0100,32934,54.3,62.9
Possession,,11,689,44,0,20871,29,309,data/epl,2017-09-11 20:00:00 +0100,32934,30.5,60.3
Possession,,10,657,61,1,15004,57,309,data/epl,2017-09-11 20:00:00 +0100,32934,14.1,46.6
Possession,,19,1192,61,0,10955,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,25.1,67.3
Possession,,19,1187,1,0,10504,47,309,data/epl,2017-09-11 20:00:00 +0100,32934,92.0,2.2
Possession,,19,1166,1,0,15280,26,309,data/epl,2017-09-11 20:00:00 +0100,32934,79.3,12.8
Possession,,19,1141,1,0,10504,1,309,data/epl,2017-09-11 20:00:00 +0100,32934,80.1,7.7
Defense,,18,1136,7,1,11309,56,309,data/epl,2017-09-11 20:00:00 +0100,32934,61.5,7.8
Possession,,18,1100,44,0,12372,20,309,data/epl,2017-09-11 20:00:00 +0100,32934,30.6,68.5
Possession,,18,1098,1,1,729,18,49,data/epl,2017-09-11 20:00:00 +0100,32934,32.0,97.2
Defense,,17,1066,4,0,10072,46,309,data/epl,2017-09-11 20:00:00 +0100,32934,63.5,9.1
Possession,,17,1057,44,0,10955,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.8,49.4
Possession,,17,1051,61,1,12372,31,309,data/epl,2017-09-11 20:00:00 +0100,32934,36.4,57.0
Defense,,16,1018,7,1,9470,58,49,data/epl,2017-09-11 20:00:00 +0100,32934,48.2,66.2
Possession,,16,1002,61,0,544,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.7,6.5
Possession,,16,998,1,1,2074,38,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,96.8
Defense,,16,972,4,0,10955,12,49,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,3.0
Defense,,16,972,4,1,20871,12,309,data/epl,2017-09-11 20:00:00 +0100,32934,28.3,97.0
Possession,,16,967,44,0,8206,7,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.2,74.5
Possession,,15,909,1,1,12372,9,309,data/epl,2017-09-11 20:00:00 +0100,32934,39.4,66.1
Defense,,24,1487,4,1,10955,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,89.4,86.5
Defense,,24,1487,4,0,7969,47,309,data/epl,2017-09-11 20:00:00 +0100,32934,10.6,13.5
Possession,,23,1425,1,0,10560,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,97.3
Possession,,23,1401,1,0,10560,21,49,data/epl,2017-09-11 20:00:00 +0100,32934,81.2,12.5
Possession,,23,1394,1,0,10560,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,0.5
Possession,,22,1359,1,0,729,39,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.4,6.2
Possession,,22,1360,6,0,8088,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,92.7
Possession,,22,1360,6,1,729,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,7.3
Possession,,22,1336,44,0,15280,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.3,26.4
Possession,,22,1334,44,0,583,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.8,56.5
Possession,,22,1328,44,0,12372,8,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,58.4
Possession,,22,1326,44,0,9470,6,49,data/epl,2017-09-11 20:00:00 +0100,32934,70.5,45.4
Possession,,21,1319,1,1,925,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,83.5
Defense,,21,1295,4,1,9470,35,49,data/epl,2017-09-11 20:00:00 +0100,32934,43.8,81.1
Defense,,21,1295,4,0,11309,35,309,data/epl,2017-09-11 20:00:00 +0100,32934,56.2,18.9
Possession,,21,1293,61,0,11309,33,309,data/epl,2017-09-11 20:00:00 +0100,32934,54.0,20.3
Possession,,21,1289,61,0,10504,29,309,data/epl,2017-09-11 20:00:00 +0100,32934,57.8,3.7
Possession,,20,1228,44,0,20871,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,30.2,59.5
Possession,,20,1224,1,1,729,24,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.9,21.2
Defense,,20,1217,4,1,87,17,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.2,20.4
Defense,,20,1217,4,0,20871,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,60.8,79.6
Possession,,20,1206,61,0,8206,6,309,data/epl,2017-09-11 20:00:00 +0100,32934,78.2,62.0
Possession,,20,1201,1,1,8088,1,309,data/epl,2017-09-11 20:00:00 +0100,32934,84.4,90.3
Possession,,29,1776,1,0,87,36,49,data/epl,2017-09-11 20:00:00 +0100,32934,75.6,7.6
Possession,,29,1765,1,0,10560,25,49,data/epl,2017-09-11 20:00:00 +0100,32934,88.8,88.0
Possession,,29,1762,1,0,10560,22,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.5,99.5
Possession,,28,1734,6,0,20871,54,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.2,43.6
Possession,,28,1734,6,1,87,54,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.8,56.4
Defense,,28,1733,10,1,20871,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,43.3
Possession,,28,1732,44,0,20871,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.7,43.0
Possession,,28,1730,1,1,10560,50,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.6,0.7
Possession,,28,1696,6,0,12372,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,2.9,83.5
Possession,,28,1696,6,1,10955,16,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.1,16.5
Possession,,28,1694,1,0,10955,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.1,7.7
Defense,,28,1692,45,0,2074,12,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,88.8
Attack,,28,1691,42,1,10955,11,49,data/epl,2017-09-11 20:00:00 +0100,32934,87.1,8.2
Possession,,27,1622,1,0,15280,2,309,data/epl,2017-09-11 20:00:00 +0100,32934,79.5,2.9
Defense,,26,1604,7,1,12372,44,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.9,29.4
Possession,,25,1555,61,1,7969,55,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,52.4
Possession,,25,1553,1,1,10560,53,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.5,87.8
Defense,,34,2070,4,1,9470,30,49,data/epl,2017-09-11 20:00:00 +0100,32934,25.4,31.6
Defense,,34,2070,4,0,15280,30,309,data/epl,2017-09-11 20:00:00 +0100,32934,74.6,68.4
Possession,,34,2068,61,0,15280,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,69.0
Possession,,34,2063,44,0,8206,23,309,data/epl,2017-09-11 20:00:00 +0100,32934,79.0,60.8
Possession,,33,2025,61,1,10560,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,54.6,73.3
Defense,,33,2023,7,0,11309,43,309,data/epl,2017-09-11 20:00:00 +0100,32934,45.5,31.1
Defense,,33,2008,7,1,15280,28,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,95.8
Possession,,33,2000,1,0,10560,20,49,data/epl,2017-09-11 20:00:00 +0100,32934,64.7,91.8
Possession,,33,1993,44,0,87,13,49,data/epl,2017-09-11 20:00:00 +0100,32934,73.4,41.6
Possession,,33,1990,61,0,8088,10,309,data/epl,2017-09-11 20:00:00 +0100,32934,44.8,37.1
Possession,,33,1988,44,0,2948,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,61.2,55.7
Possession,,32,1972,44,0,8088,52,309,data/epl,2017-09-11 20:00:00 +0100,32934,41.5,3.2
Possession,,32,1951,61,1,2948,31,49,data/epl,2017-09-11 20:00:00 +0100,32934,66.8,96.6
Attack,,32,1949,3,0,10560,29,49,data/epl,2017-09-11 20:00:00 +0100,32934,77.3,98.1
Possession,,31,1917,1,1,87,57,49,data/epl,2017-09-11 20:00:00 +0100,32934,74.1,3.4
Possession,,31,1908,44,0,20871,48,309,data/epl,2017-09-11 20:00:00 +0100,32934,42.9,67.3
Possession,,31,1901,1,0,15004,41,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.4,69.1
Defense,,31,1877,4,0,544,17,49,data/epl,2017-09-11 20:00:00 +0100,32934,97.2,26.0
Defense,,31,1877,4,1,2074,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,2.8,74.0
Possession,,31,1875,61,0,544,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,91.2,10.0
Possession,,30,1857,44,0,2948,57,49,data/epl,2017-09-11 20:00:00 +0100,32934,39.2,95.8
Possession,,30,1842,61,1,925,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,53.1,95.3
Defense,,30,1842,7,1,2948,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,57.2,94.6
Possession,,30,1819,44,0,8088,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,44.5,36.4
Possession,,30,1813,1,1,15004,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,56.0
Possession,,40,2400,1,1,15004,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.7,51.8
Possession,,39,2371,1,0,10955,31,49,data/epl,2017-09-11 20:00:00 +0100,32934,87.0,96.0
Possession,,39,2372,44,0,87,32,49,data/epl,2017-09-11 20:00:00 +0100,32934,93.6,47.2
Possession,,39,2355,1,1,729,15,49,data/epl,2017-09-11 20:00:00 +0100,32934,63.9,3.2
Defense,,38,2339,4,1,544,59,49,data/epl,2017-09-11 20:00:00 +0100,32934,67.3,4.2
Defense,,38,2339,4,0,2074,59,309,data/epl,2017-09-11 20:00:00 +0100,32934,32.7,95.8
Possession,,37,2239,44,0,10504,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.3,24.7
Possession,,37,2230,61,0,15280,10,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.1,90.3
Possession,,37,2226,44,0,87,6,49,data/epl,2017-09-11 20:00:00 +0100,32934,90.3,42.4
Possession,,37,2224,1,0,10560,4,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.4,99.1
Possession,,36,2197,6,1,10955,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,77.2,39.7
Possession,,36,2197,6,0,20871,37,309,data/epl,2017-09-11 20:00:00 +0100,32934,22.8,60.3
Defense,,36,2195,10,1,20871,35,309,data/epl,2017-09-11 20:00:00 +0100,32934,21.9,60.6
Defense,,36,2182,7,1,2074,22,309,data/epl,2017-09-11 20:00:00 +0100,32934,7.2,97.8
Possession,,35,2156,44,0,15280,56,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.8,54.5
Possession,,35,2152,1,0,10560,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,92.0,92.3
Possession,,35,2148,44,0,583,48,49,data/epl,2017-09-11 20:00:00 +0100,32934,95.4,58.2
Possession,,35,2147,1,0,10560,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,99.4,99.1
Possession,,35,2119,6,1,87,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,72.4,67.2
Possession,,35,2119,6,0,12372,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,27.6,32.8
Defense,,35,2117,10,1,12372,17,309,data/epl,2017-09-11 20:00:00 +0100,32934,23.3,34.2
Possession,,35,2113,44,0,20871,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,34.3,42.3
Possession,,35,2110,1,1,82,10,49,data/epl,2017-09-11 20:00:00 +0100,32934,22.6,34.2
Defense,0,44,2666,4,1,544,26,49,data/epl,2017-09-11 20:00:00 +0100,32934,37.6,34.8
Defense,0,44,2666,4,0,12372,26,309,data/epl,2017-09-11 20:00:00 +0100,32934,62.4,65.2
Possession,0,44,2665,61,0,12372,25,309,data/epl,2017-09-11 20:00:00 +0100,32934,63.2,67.0
Possession,0,44,2654,1,0,11309,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,97.3,86.5
Defense,0,44,2648,7,0,729,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,16.3
Possession,0,43,2629,1,1,11309,49,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.9,60.2
Defense,0,42,2554,4,1,8206,34,309,data/epl,2017-09-11 20:00:00 +0100,32934,61.8,62.6
Defense,0,42,2554,4,0,905,34,49,data/epl,2017-09-11 20:00:00 +0100,32934,38.2,37.4
Possession,0,42,2543,1,1,15004,23,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,54.9
Defense,0,41,2479,4,1,2948,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,70.6,43.0
Defense,0,41,2479,4,0,12372,19,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.4,57.0
Defense,0,41,2462,7,1,10504,2,309,data/epl,2017-09-11 20:00:00 +0100,32934,24.4,11.6
Defense,0,40,2416,7,1,20871,16,309,data/epl,2017-09-11 20:00:00 +0100,32934,35.9,58.4
Defense,0,40,2414,45,0,8206,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,52.4,63.8
